Track Name,Artist,Streams,URL,Number of Appearnaces in the Top 200
I Like It,Cardi B,4680791,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,35
Wow.,Post Malone,8033506,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,35
Something Just Like This,The Chainsmokers,4654343,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,35
Piece Of Your Heart,MEDUZA,6742545,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,34
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,14695973,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,34
Truth Hurts,Lizzo,6574451,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,34
The Middle,Zedd,4419337,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,33
lovely (with Khalid),Billie Eilish,8330054,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,33
idontwannabeyouanymore,Billie Eilish,4333573,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu,33
Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,4354374,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,33
Be Alright,Dean Lewis,5398139,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,33
Body (feat. brando),Loud Luxury,4512483,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,33
"break up with your girlfriend, i'm bored",Ariana Grande,4603746,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,32
Promises (with Sam Smith),Calvin Harris,4280989,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,32
Someone You Loved,Lewis Capaldi,19547865,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,32
No Me Conoce - Remix,Jhay Cortez,9335003,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,31
Te Robaré,Nicky Jam,4654488,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw,31
Murder On My Mind,YNW Melly,4392529,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,31
One Kiss (with Dua Lipa),Calvin Harris,4313556,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,31
11:00 PM,Maluma,5572970,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,31
Callaita,Bad Bunny,9737419,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,30
Secreto,Anuel AA,4609644,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,30
So Am I,Ava Max,4572768,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7,29
Sucker,Jonas Brothers,6610000,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,29
Verte Ir,DJ Luian,4566790,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR,29
Here With Me,Marshmello,4608613,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac,29
Giant (with Rag'n'Bone Man),Calvin Harris,4324320,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,29
Boy With Luv (feat. Halsey),BTS,5203784,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,29
Baila Baila Baila,Ozuna,4372694,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG,29
Otro Trago,Sech,4495639,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,28
Bad Liar,Imagine Dragons,4512253,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,28
Look Back at It,A Boogie Wit da Hoodie,4465519,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,28
All of Me,John Legend,4770253,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a,28
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,6611596,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,28
Get You The Moon (feat. Snøw),Kina,5553543,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa,28
Money In The Grave (Drake ft. Rick Ross),Drake,6466476,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,28
Lost In Japan,Shawn Mendes,4361450,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV,28
Only Human,Jonas Brothers,5216000,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk,27
ZEZE (feat. Travis Scott & Offset),Kodak Black,4394111,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,27
Rescue Me,OneRepublic,4449136,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM,27
Always Remember Us This Way,Lady Gaga,4463480,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,27
i love you,Billie Eilish,4426820,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc,27
Te Vi,Piso 21,4562391,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,26
LA CANCIÓN,J Balvin,10521939,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,26
Amanece,Anuel AA,4479800,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,26
Africa,TOTO,4545634,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,26
QUE PRETENDES,J Balvin,5502509,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,26
Congratulations,Post Malone,4543995,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,26
wish you were gay,Billie Eilish,5415885,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD,26
Lalala,Y2K,9985983,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,26
Never Really Over,Katy Perry,4490697,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0,26
goosebumps,Travis Scott,5599713,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,26
No Guidance (feat. Drake),Chris Brown,6116878,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,26
In My Feelings,Drake,4432703,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,25
New Rules,Dua Lipa,4435045,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O,25
Saturday Nights,Khalid,4440742,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,25
